what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1583934348043
java.specification.version,sysinfo,,,"1.8",1583934348043
java.vendor,sysinfo,,,"Oracle Corporation",1583934348043
java.version,sysinfo,,,"1.8.0_241",1583934348043
java.vm.info,sysinfo,,,"mixed mode",1583934348043
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1583934348043
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1583934348043
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1583934348043
java.vm.specification.version,sysinfo,,,"1.8",1583934348043
java.vm.vendor,sysinfo,,,"Oracle Corporation",1583934348043
java.vm.version,sysinfo,,,"25.241-b07",1583934348043
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1583934350556
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1583934350565
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1583934350962
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1583934350978
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1583934350996
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1583934351006
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1583934351009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934351156
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1583934377276
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1583934379833
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1583934379835
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583934384795
started,bundle,org.eclipse.help.base,3.5.2.v201009090800,"org.eclipse.help.base",1583934398772
started,bundle,org.eclipse.help.ui,3.5.2.r36_v20100702,"org.eclipse.help.ui",1583934398792
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1583934591541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934644868
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1583934644885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934648920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934668155
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1583934681651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934681982
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1583934686080
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1583934686090
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1583934686115
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1583934695011
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1583934695014
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.200.v20100503a,"org.eclipse.equinox.p2.touchpoint.natives",1583934695098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934716999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934717278
error,log,,,"An internal error occurred during: ""Install download0"".",1583934862604
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934873492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934888686
error,log,,,"An internal error occurred during: ""Install download3"".",1583934893625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583934899105
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935007783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935014141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935022042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935058446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935176648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935193081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935332184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935345118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935407713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935408368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935412019
error,log,,,"An internal error occurred during: ""Install download2"".",1583935413922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935413927
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935421577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935438775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935442692
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1583935442698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935444281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935477821
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.update",1583935492204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935502641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935503456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935536153
error,log,,,"Cannot continue the operation.  There is another install operation in progress.",1583935536194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935547248
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProgressView",1583935550548
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProgressView",1583935550616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935566537
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935620424
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1583935620436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583935626765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583935721453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.installationDialog",1583935753112
